# Mod List: 189
Audio, cf=extrasounds-forge | Extrasounds
Food/Farming, cf=botany-pots | Botany Pots
Food/Farming, cf=botany-trees | Botany Trees
Food/Farming, cf=botany-pots-tiers | Botany Pots Tiers
Food/Farming, cf=aether-delight | Aether Delight
Food/Farming, cf=abnormals-delight | Abnormal's Delight
HUD, cf=xaeros-world-map | Xaero's World Map
HUD, cf=xaeros-minimap | Xaero's Minimap
HUD, cf=travelers-titles | Traveler's Titles
HUD, cf=toast-control | Toast Control
HUD, cf=raised | Raised
HUD, cf=overflowing-bars | Overflowing Bars
HUD, cf=jade | Jade
HUD, cf=jade-addons-ic2classic | Jade Addons - IC2Classic
HUD, cf=inventory-hud-forge | Inventory HUD+
HUD, cf=dynamic-crosshair | Dynamic Crosshair
HUD, cf=advancement-plaques | Advancement Plaques
Magic/Alchemy, mr=spirit | Spirit
Magic/Alchemy, cf=forbidden-arcanus | Forbidden and Arcanus
Mob, cf=productivebees | Productive Bees
Mob, cf=let-fish-love | Let Fish Love
Mob, cf=goblin-traders | Goblin Traders
Mob, mr=ghost | Ghost
Mob, mr=friends-and-foes-forge | Friends & Foes
Mob, cf=exotic-birds | Exotic Birds
Mob, cf=duckling | Duckling
Mob, cf=difficult-caves | Difficult Caves
Mob, cf=critters-and-companions | Critters and Companions
Mob, cf=creatures-and-beasts | Creatures and Beasts
Mob, cf=companion | Companion
Mob, cf=chococraft | ChocoCraft
Mob, cf=canes-wonderful-spiders | Canes Wonderful Spiders
Multiplayer, cf=no-chat-reports | No Chat Reports
Multiplayer, cf=mighty-mail | Mighty Mail
Perf, mr=structure-layout-optimizer | Structure Layout Optimizer
Perf, cf=quick-pack | quick pack
Perf, mr=async-locator | Async Locator
Perf, cf=immediatelyfast | ImmediatelyFast
Perf, cf=zfastnoise | Fast Noise
Perf, cf=modernfix | ModernFix
Perf, cf=lightspeedmod | Lightspeed - Launch optimizations
Perf, cf=lazy-dfu-forge | LazyDFU Forge
Perf, mr=ferrite-core | FerriteCore
Perf, cf=fastworkbench | FastWorkbench
Perf, cf=fastsuite | FastSuite
Perf, cf=fastfurnace | FastFurnace
Perf, mr=embeddium | Embeddium
Perf, cf=clumps | Clumps
Perf, mr=alternate-current | Alternate Current
QoL, cf=visual-workbench | Visual Workbench
QoL, mr=stack-refill | Stack Refill
QoL, cf=sophisticated-storage | Sophisticated Storage
QoL, cf=rightclickharvest | RightClickHarvest
QoL, cf=mouse-tweaks | Mouse Tweaks
QoL, cf=lootr | Lootr
QoL, cf=jei | Just Enough Items
QoL, cf=inventory-sorter | Inventory Sorter
QoL, cf=inventory-essentials | Inventory Essentials
QoL, cf=friendly-fire | Friendly Fire
QoL, cf=fast-leaf-decay | Fast Leaf Decay
QoL, cf=enchantment-descriptions | Enchantment Descriptions
QoL, cf=emi | EMI
QoL, cf=elytra-slot | Elytra Slot
QoL, cf=easy-anvils | Easy Anvils
QoL, cf=easiervillagertrading | EasierVillagerTrading
QoL, cf=crafting-tweaks | Crafting Tweaks
QoL, cf=convenient-curios-container | Convenient Curios Container
QoL, mr=charm-of-undying | Charm of Undying
QoL, cf=better-advancements | Better Advancement
QoL, cf=better-tridents | Better Tridents
QoL, cf=bad-wither-no-cookie-reloaded | Bad Wither No Cookie - Reloaded
QoL, cf=appleskin | Appleskin
QoL, cf=animal-feeding-trough | Animal Feeding Trough
Settings, cf=default-options | Default Options
Settings, cf=controlling | Controlling
Tech, cf=creeperhost-presents-steves-carts | Steve's Carts
Tech, cf=project-red-transmission | Project Red - Transmission
Tech, cf=project-red-integration | Project Red - Integration
Tech, cf=project-red-fabrication | Project Red - Fabrication
Tech, cf=project-red-expansion | Project Red - Expansion
Tech, cf=project-red-core | Project Red - Core
Tech, cf=ic2-classic | IC2 Classic
Tech, cf=ic2-classic | IC2 Classic
Tech, cf=eu-converter | EU Converter
Tech, mr=ae2 | Applied Energistics 2
Tech, cf=advanced-solars-classic | Advanced Solars Classic
Tech, cf=additional-enchanted-miner | Additional Enchanted Miner
Tool/Equipment, cf=undergarden-tetra-patch | Undergarden-Tetra Patch
Tool/Equipment, cf=tetranomicon | Tetranomicon
Tool/Equipment, cf=tetra | Tetra
Tool/Equipment, cf=tetra-toolbooster | Tetra Toolbooster
Tool/Equipment, cf=aetheric-tetranomicon | Aetheric Tetranomicon
Tooltip, cf=durability-tooltip | Durability Tooltip
Utility, cf=waystones | Waystones
Utility, cf=sophisticated-backpacks | Sophisticated Backpacks
Utility, cf=sawmill | Sawmill
Utility, cf=ping | Ping
Utility, cf=patchouli | Patchouli
Utility, cf=measurements | Measurements
Utility, cf=light-overlay | Light Overlay
Utility, cf=gravestone-mod | GraveStone
Utility, cf=equipment-compare | Equipment Compare
Utility, cf=curios | Curios API
Utility, cf=construction-wand | Construction Wand
Utility, cf=comforts | Comforts
Utility, cf=carry-on | Carry On
Utility, cf=bed-benefits | Bed Benefits
Vehicle, cf=small-ships | Small Ships
Vehicle, cf=immersive-aircraft | Immersive Aircraft
Vehicle, cf=astikorcarts | AstikorCarts
VFX, cf=falling-leaves-forge | Falling Leaves
Village, cf=villager-tools | Village Artifacts
Village, cf=trading-post | Trading Post
Village, cf=smarter-farmers-farmers-replant | Smarter Farmers
Village, cf=more-villagers | More Villagers
Village, cf=chefs-delight-forge | Chef's Delight
WorldGen, cf=yungs-better-witch-huts | YUNG's Better Witch Huts
WorldGen, cf=yungs-better-strongholds | YUNG's Better Strongholds
WorldGen, cf=yungs-better-ocean-monuments | YUNG's Better Ocean Monuments
WorldGen, cf=yungs-better-nether-fortresses | YUNG's Better Nether Fortresses
WorldGen, cf=yungs-better-mineshafts-forge | YUNG's Better Mineshafts
WorldGen, cf=yungs-better-jungle-temples | YUNG's Better Jungle Temples
WorldGen, cf=yungs-better-desert-temples | YUNG's Better Desert Temples
WorldGen, cf=tumbleweed | Tumbleweed
WorldGen, cf=towns-and-towers | Towns and Towers
WorldGen, cf=project-red-exploration | Project Red - Exploration
WorldGen, mr=philips-ruins | Philips Ruins
WorldGen, cf=mystics-biomes | Mystic's Biomes
WorldGen, cf=hopo-better-ruined-portals | Hopo Better Ruined Portals
WorldGen, cf=geophilic-reforged | Geophilic Reforged
WorldGen, mr=darker-depths | Darker Depths
WorldGen, cf=biomes-o-plenty | Biomes O'Plenty
WorldGen, cf=bf-end-cities | B.F. End Cities
